years,Grand Total,United States of America,United Kingdom,France,Germany,Japan,Netherlands,Spain,Portugal,Denmark,Switzerland,Sweden,Republic of Korea,Malaysia,Indonesia,Philippines,Thailand,Singapore,India,Canada,Belgium,Italy,Austria,Australia,Vietnam,Norway,Finland,Unknown,Others
1999,639,21,9,2,2,16,0,0,1,0,1,0,8,15,66,173,197,9,3,3,0,0,0,2,17,0,0,0,94
2000,382,20,3,5,5,15,3,0,2,0,0,1,13,22,42,70,107,7,5,4,1,0,0,1,18,0,0,0,38
2001,787,22,9,1,3,11,0,0,0,0,0,0,31,13,85,106,185,9,1,6,0,2,0,5,59,0,0,0,239
2002,956,34,7,1,5,18,1,0,0,0,1,0,27,28,91,67,180,7,5,17,0,0,0,3,158,0,0,0,306
2003,901,29,5,3,6,12,1,0,0,0,0,0,9,16,94,72,195,5,6,14,1,0,0,4,249,0,0,0,180
2004,918,39,3,5,2,26,2,0,0,0,0,0,10,35,78,75,177,4,1,21,1,0,0,2,325,0,0,0,112
2005,1268,21,10,5,1,26,4,0,0,0,0,0,17,36,116,101,252,21,4,18,0,2,0,8,493,0,0,0,133
2006,1848,49,13,5,4,24,1,0,0,1,2,0,27,50,247,98,407,12,6,24,1,0,0,7,781,0,0,1,88
2007,2215,67,19,8,3,39,4,1,0,0,1,1,16,61,419,152,405,13,8,20,1,2,0,2,821,0,1,4,147
2008,2132,57,15,5,5,40,1,0,0,0,1,0,27,45,319,154,438,7,16,27,1,0,1,2,777,0,1,3,190
2009,2325,90,14,9,4,35,0,0,0,0,1,2,34,54,307,148,543,22,5,16,0,0,0,8,872,0,0,5,156
2010,2183,64,26,12,5,43,0,0,0,1,1,0,30,60,266,121,405,10,4,25,0,0,0,9,907,0,0,2,192
2011,2210,90,10,10,7,49,2,1,0,0,2,6,28,27,270,121,477,5,2,33,1,0,2,6,873,0,0,1,187
2012,2170,93,10,12,10,29,3,0,0,0,0,1,29,45,298,130,446,7,10,28,0,1,1,6,890,0,1,0,120
2013,1963,92,27,15,9,38,2,4,0,1,2,0,22,44,298,117,324,13,6,36,1,2,0,6,798,1,0,0,105
2014,1898,104,21,18,16,47,5,0,1,0,0,0,25,49,268,146,300,7,11,27,1,6,0,15,726,0,0,2,103
2015,2005,105,11,18,4,48,1,1,0,3,3,2,19,82,244,133,417,15,14,16,0,3,1,8,735,1,0,1,120
2016,2504,123,26,18,13,55,6,3,0,1,5,2,35,66,254,205,463,27,15,44,2,9,2,12,966,1,0,2,149
2017,3206,83,31,20,5,59,0,6,0,3,0,2,51,79,324,224,585,15,16,29,3,5,2,10,1495,0,1,1,157
2018,3588,123,27,20,10,56,6,7,0,0,1,2,29,175,357,269,659,21,16,33,2,11,1,6,1613,0,0,2,142
2019,4253,120,25,21,14,46,5,3,1,2,3,4,62,125,540,316,674,13,22,32,4,8,1,3,2020,1,1,3,184