years,Grand Total,Illiterate,Self-Educated,Elementary School,Junior High School,Senior & Vocational High School,University & Junior College,Graduate School,Others (Include Unknown)
1999,179597,2678,181,25663,81220,56365,10664,241,2585 
2000,181614,2487,143,24639,80153,59447,12353,369,2023 
2001,180527,2481,172,24842,75061,61793,14197,460,1521 
2002,185751,3217,180,25744,70780,67179,16342,537,1772 
2003,158687,1981,121,18857,61011,60653,14389,543,1132 
2004,176975,1747,123,19288,68660,70107,15776,684,590 
2005,207425,2125,130,21420,78682,85417,18244,818,589 
2006,229193,2185,156,22151,84009,96702,21844,996,1150 
2007,265860,2139,180,24579,91490,118577,26450,1354,1091 
2008,271186,2078,139,23226,90576,127244,25576,1329,1018 
2009,261973,2088,169,21850,80706,128464,25321,1479,1896 
2010,269340,2449,218,23250,82928,131364,25425,1563,2143 
2011,260356,1479,125,18660,76302,134985,24886,1547,2372 
2012,262058,1513,127,18357,75509,136214,26583,1644,2111 
2013,255310,1402,131,16671,69387,138487,25473,1626,2133 
2014,261603,1633,166,16956,71036,139474,26446,1742,4150 
2015,269296,1109,115,16023,70723,145608,27352,1782,6584 
2016,272817,993,120,14015,64638,156264,27769,1864,7154 
2017,287294,802,86,11619,64891,170810,30063,1907,7116 
2018,291621,939,123,11732,59413,177042,30828,1965,9579 
2019,291621,939,123,11732,59413,177042,30828,1965,9579 