years,Grand Total,Legislators & Government Administrators & Business Executives & Managers,Professionals,Technicians & Associate Professionals,Clerks,Service Workers (Exclude Security Service Personnel),Sales Workers,Agricultural & Forestry & Fishing & Animal Husbandry Workers,Security Service Workers,Skilled & Related Workers,Transportation Workers (drivers & sailors & etc.),Machine Operation & Assemble Workers (Except Transportation Workers),Untechnical & Physical workers,Students,Unemployed Persons,Others (Include Unknown)
1998,158923,502,634,533,700,22221,0,7785,1286,242,5080,0,37970,13135,64789,4046
1999,179597,4736,1239,3224,1749,18699,0,8261,1706,22510,10573,0,11777,12799,75799,6525
2000,181614,6690,1331,3966,1853,8415,9142,7094,1944,25003,7253,4573,12949,11246,75928,4227
2001,180527,7696,1536,4848,2089,7959,8625,7108,2408,22577,7118,5752,13753,10770,73626,4662
2002,185751,8166,1664,4825,2346,9501,9690,7626,2701,19981,6933,5985,15719,11578,75449,3587
2003,158687,6670,1392,4211,1644,8652,8967,5291,2203,16004,5387,5661,14870,10263,65144,2328
2004,176975,6465,1551,4674,1564,11310,8574,5409,2171,18682,5312,5807,19238,9180,74455,2583
2005,207425,7190,1707,4674,1574,16077,8988,6772,1963,22184,5368,5629,24155,8936,88523,3685
2006,229193,6524,2116,5251,1783,22855,9561,6385,2150,26157,6405,6780,29406,9977,88774,5069
2007,265860,6792,2742,5712,1657,30013,10255,6707,2443,34416,7110,9344,39807,12165,90127,6570
2008,271186,6694,2972,5517,1262,32577,8817,7169,2254,36601,7133,7082,44428,12924,86840,8916
2009,261973,5656,2990,5576,1100,34591,7888,7433,2146,30113,6948,6196,43310,12186,87570,8270
2010,269340,5550,3109,5234,1038,36388,7779,7697,2010,27277,7130,7081,47117,12035,90236,9659
2011,260356,4954,3442,4907,809,43318,6745,6520,1879,25321,7091,5053,49166,14533,78504,8114
2012,262058,4785,3451,5139,783,44720,6798,7285,2421,23750,7179,5033,52530,16458,73821,7905
2013,255310,4661,3922,5395,738,43818,5747,8467,2706,25073,7566,4942,57103,13455,65216,6501
2014,261603,5060,3804,5315,813,46704,5477,8716,2644,29616,7183,6226,55244,12502,65723,6576
2015,269296,4743,4148,5310,774,48687,5304,8421,2995,30137,7704,6488,59551,13351,65533,6150
2016,272817,4483,4434,5849,862,52217,4058,8542,3329,31369,7836,6989,59335,11482,64794,7238
2017,287294,3641,6251,6558,1070,56334,3772,9327,3525,33192,8026,6472,62714,12028,66844,7540
2018,291621,4215,7394,6938,1006,59220,3926,10077,3665,31604,8372,4646,61410,10917,68453,9778
2019,277664,4047,6957,5937,1052,55681,5742,9074,3707,21797,7490,5044,65798,11672,64776,8890